x,y,labels,doc_top,topic
11.54282,10.138115,114,109,16
4.9002614,8.211192,75,6,18
3.2192173,7.432936,4,68,1
3.3117166,6.2499833,4,2,7
9.409912,9.842843,86,50,4
7.2960916,6.819752,73,1,1
4.578881,10.22645,53,0,0
12.850314,8.755823,108,16,16
13.108106,7.489656,62,69,19
3.678101,6.6218133,4,2,7
8.978267,9.862837,101,27,4
4.600993,8.318232,75,6,18
11.222411,9.66033,118,11,8
11.8932,9.928952,103,31,11
5.0192432,9.707689,53,0,0
6.848775,8.603461,79,3,2
6.6540027,7.9906125,77,34,3
3.7776,4.7054915,0,51,13
7.9613147,9.372574,57,10,4
5.0426307,11.933464,13,8,10
3.4668748,9.811314,53,0,0
7.547625,11.499313,21,77,6
12.401626,9.728225,103,82,11
3.809105,4.7376328,0,51,13
10.997832,8.229019,70,29,17
8.382475,6.7975645,73,1,1
7.5275073,11.465136,21,35,6
2.78444,10.417613,26,101,0
3.614208,10.066365,53,0,0
12.643245,7.5391107,78,14,19
7.061894,11.35584,21,36,6
6.8651266,8.57599,79,54,2
5.485662,8.655179,88,65,3
7.072087,8.815569,66,96,2
7.7979074,11.869447,21,77,6
3.6705227,10.414489,53,0,0
12.733746,7.77328,78,14,19
9.338371,5.7709694,27,72,12
5.515492,6.347557,38,5,13
8.219957,11.208501,17,84,6
3.9918733,6.7633452,4,2,7
11.907126,10.3177,113,43,11
3.3322034,10.682753,53,0,0
3.4659965,6.5521116,4,2,7
3.166835,6.3210273,4,2,7
3.0358,10.8226185,53,0,0
11.542909,10.241704,114,23,11
4.698009,11.966273,13,55,10
7.4487348,11.380256,21,61,6
4.720972,9.841997,53,0,0
10.502796,5.8212514,59,13,12
4.1167445,10.916345,48,53,0
10.986247,8.253676,70,29,17
3.7320771,4.7537794,0,51,13
3.4164014,6.5175433,4,2,7
9.14652,9.269902,102,10,4
7.467503,6.8840065,73,1,1
8.705295,8.324853,83,76,15
4.494641,7.8165507,75,6,18
3.6012585,10.23061,53,0,0
6.3346167,7.6617303,65,13,12
13.113578,6.7676635,61,33,5
3.306657,10.355304,53,0,0
7.256811,6.9724736,73,1,1
11.981101,10.412974,113,43,11
6.4437304,6.886752,37,46,13
3.3360784,10.442248,53,101,0
12.051103,7.702992,90,58,19
7.7320275,6.863919,73,1,1
5.511742,6.306085,38,5,13
3.2402413,10.34615,53,0,0
5.465131,6.415759,38,5,13
6.2500424,4.5034385,8,4,14
9.009871,6.5267057,74,26,9
5.1962376,6.4197154,38,5,13
5.174433,9.854925,53,0,0
13.414671,7.781964,62,12,5
8.151841,6.104219,73,1,1
8.057508,11.899033,21,24,6
7.762972,12.047967,21,77,6
12.442268,7.462658,78,12,5
10.72714,7.257427,69,9,9
11.898003,6.401583,76,28,5
9.166645,10.510356,22,67,4
11.758407,9.232355,115,96,2
2.7325516,10.406534,26,101,0
12.276327,9.192135,104,16,16
3.2839525,7.403329,4,2,7
4.8053827,9.867528,53,0,0
12.655532,7.6201344,78,18,5
4.225547,10.165427,53,0,0
12.052801,7.7835846,90,58,19
6.3512235,4.606882,8,4,14
11.728701,9.377103,115,16,16
3.2515652,7.395939,4,2,7
8.089028,9.868869,49,81,12
10.543151,5.9253073,59,13,12
11.14444,6.7449856,85,44,9
6.500931,4.744984,8,4,14
4.594609,10.101725,53,3,2
8.498745,8.777876,60,116,7
3.2586546,7.4310417,4,2,7
3.3710716,9.758641,53,3,2
12.611704,7.726714,78,14,19
8.3328285,8.284829,84,19,15
11.91382,6.559361,76,28,5
10.626077,6.9602365,68,7,17
6.2484818,4.617769,8,4,14
8.381689,6.3227105,73,1,1
9.562032,9.864501,86,74,4
3.288421,6.2495,4,2,7
7.373787,10.942712,21,22,7
8.149273,9.259546,57,10,4
11.029282,6.047222,41,105,9
10.610749,6.279742,59,13,12
12.112036,7.0405884,92,21,5
7.9847665,6.6100183,73,1,1
9.147802,5.4960294,27,72,12
7.103157,9.860149,28,41,7
3.2280207,6.1672444,4,2,7
8.204025,4.477927,3,102,15
3.1540768,10.1239195,53,68,1
5.1954846,6.366293,38,5,13
9.222818,5.566996,27,72,12
7.1985765,7.0195875,73,1,1
7.2582855,8.166503,56,108,7
8.779619,9.434941,102,27,4
11.192133,6.8182483,85,44,9
4.4773197,8.424516,75,6,18
8.976123,9.819304,101,27,4
3.3816335,9.691405,53,0,0
7.100878,9.851576,28,41,7
11.927161,10.427974,113,17,11
5.278427,12.685372,11,39,10
7.634332,6.4679356,73,1,1
6.415728,11.086034,20,45,6
8.535666,6.5562124,73,1,1
3.2498467,9.793793,53,0,0
7.5962224,7.062063,73,1,1
5.318083,12.735219,11,39,10
8.776009,5.826621,35,88,12
7.528778,7.248531,73,92,1
13.361378,7.367625,62,69,19
13.155027,6.735975,61,33,5
12.411437,10.198557,110,17,11
7.754628,6.7632103,73,1,1
6.4469457,7.62569,65,2,7
12.0663185,9.781347,103,31,11
3.696808,6.0726895,4,76,15
4.117006,10.16303,53,0,0
4.89317,11.754528,13,8,10
7.4828997,6.750571,73,72,12
10.254037,6.185159,59,13,12
4.1159763,11.121915,31,53,0
11.766242,9.233573,115,32,8
5.1464543,11.763841,13,8,10
11.9885235,9.666271,103,31,11
7.1286087,11.259344,21,61,6
4.236564,8.252484,75,6,18
5.2264314,11.69509,13,8,10
7.7028623,11.981554,21,71,6
10.187121,6.2017283,59,13,12
5.243334,9.589177,53,5,13
7.28645,11.5684,21,71,6
6.4695163,4.470437,8,4,14
8.585458,4.7448683,2,118,12
4.394191,8.204687,75,6,18
11.669124,9.30772,115,59,17
3.3771815,9.907531,53,0,0
10.251987,8.543161,91,7,17
6.724816,4.8781753,8,10,4
11.332559,8.497468,71,29,17
10.574603,7.261095,69,9,9
3.3563755,10.730498,53,0,0
3.3149667,10.198727,53,0,0
10.456587,6.088789,59,13,12
10.687149,7.384452,69,9,9
9.638165,9.204213,98,10,4
4.239806,12.594797,15,55,10
6.968953,11.540883,21,117,6
2.985998,6.3688636,4,2,7
4.5125947,8.235904,75,6,18
8.245905,8.201395,84,19,15
4.42091,10.046462,53,0,0
5.0333705,9.936111,53,0,0
4.730809,8.209682,75,6,18
6.4097977,9.337608,81,15,3
7.912147,6.0909944,73,66,12
12.764816,9.176688,96,16,16
3.1237626,10.180728,53,101,0
7.338484,11.380146,21,61,6
12.124273,8.985868,115,32,8
3.3028548,10.536032,53,0,0
10.700215,7.1426306,69,9,9
5.560272,8.681183,88,4,14
3.4880416,6.2157135,4,2,7
3.783127,10.34789,53,0,0
6.403918,10.139657,24,106,3
13.012652,6.3550396,51,56,5
8.288811,11.743493,21,24,6
6.743322,4.718961,8,4,14
10.460063,6.116629,59,13,12
4.5429873,9.747169,53,0,0
12.238777,9.861645,103,31,11
7.7948437,6.2910666,73,1,1
7.7166953,6.862043,73,1,1
7.4837046,6.6357484,73,1,1
7.5067754,6.8472533,73,1,1
11.512437,10.144373,114,23,11
10.270205,7.2352166,69,9,9
12.698035,7.629675,78,14,19
2.9493124,6.958312,4,2,7
13.126321,8.089041,62,62,16
7.8179703,9.262025,57,47,16
5.10022,6.615594,38,5,13
7.5829916,11.96434,21,71,6
7.714956,6.419998,73,1,1
6.084341,4.858457,8,4,14
4.409842,8.277643,75,6,18
13.366842,7.3745165,62,69,19
10.155802,7.678132,67,73,9
10.302751,6.2708406,59,13,12
9.278908,9.70402,86,10,4
3.7841594,4.7080736,0,51,13
8.702199,8.271134,83,19,15
4.893791,11.662778,13,8,10
8.905165,9.6951275,101,10,4
4.7380643,8.314177,75,6,18
11.033338,9.124071,105,38,3
3.5980475,10.695867,53,0,0
5.2509117,12.805383,11,39,10
6.5321555,8.171189,77,3,2
9.410893,4.9263554,12,103,9
7.2080603,11.713482,21,61,6
5.287189,12.748956,11,39,10
7.340727,6.4850087,73,1,1
7.600364,6.805348,73,1,1
7.327024,10.83205,21,22,7
12.137431,9.91019,103,31,11
11.6788025,7.4092894,93,18,5
12.18059,10.702601,109,43,11
13.101232,7.430415,62,12,5
11.738313,10.405354,112,23,11
6.465307,9.500808,81,45,6
9.530075,11.908169,1,107,2
3.7943895,4.7280426,0,51,13
7.323046,11.125843,21,22,7
6.57527,9.380483,81,15,3
3.7506769,4.672991,0,51,13
7.137926,11.461775,21,36,6
11.262682,10.072269,114,105,9
